td	tu	w	Nd	NpixD(M)	Nj	NpixJ(k)
2.5	3.1	0.6	16384	3221.225472	512	3145.728
3.1	4.0	0.8	16384	3221.225472	512	3145.728
4.0	5.0	1.0	8192	805.306368	256	786.432
5.0	6.3	1.3	8192	805.306368	256	786.432
6.3	7.9	1.6	8192	805.306368	256	786.432
7.9	10.0	2.0	4096	201.326592	128	196.608
10.0	12.5	2.6	4096	201.326592	128	196.608
12.5	15.8	3.2	4096	201.326592	128	196.608
15.8	19.9	4.1	2048	50.331648	64	49.152
19.9	25.0	5.1	2048	50.331648	64	49.152
25.0	31.5	6.5	2048	50.331648	64	49.152
31.5	39.6	8.1	1024	12.582912	32	12.288
39.6	49.9	10.3	1024	12.582912	32	12.288
49.9	62.8	12.9	1024	12.582912	32	12.288
62.8	79.1	16.3	512	3.145728	16	3.072
79.1	99.5	20.5	512	3.145728	16	3.072
99.5	125.3	25.8	512	3.145728	16	3.072
125.3	157.7	32.4	256	0.786432	8	0.768
157.7	198.6	40.8	256	0.786432	8	0.768
198.6	250.0	51.4	256	0.786432	8	0.768
